Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,同意声明点击同意✔的同时，您并没有放弃您的合法权益，研究者和瑞尔森大学仍受法律责任和专业义务的管制。 本人已阅读并理解以上信息。本人知道可以在任何时间，不需经任何同意的情况下退出此研究，关闭浏览器即可。,,我认为产品商标上的环保标志是很重要的。,我比较相信产品商标上的环保信息。,我理解环保认证的概念。,我相信个人可以做许多事情来改善环境。,我相信企业、公司可以做很多事情来改善环境。,我认为有必要对时尚产品进行环保认证。,我相信环保认证对买家是有帮助的。,如果可以的话，我会寻求有环保认证的衣服。,只要有可能，我就会购买我认为环保的产品。,我愿意为环保产品付更高的价钱。,我愿意为有环保认证的衣服支付额外费用。,我做好了为环保产品支付更高价格的准备。,我愿意用减少消费支出的方式来保护环境。,保护自然环境提高了我的生活质量。,当我在两件相同的衣服中做选择时，我会买对他人和环境更无害的那一件。,我会避免购买对环境有潜在伤害性的衣服。,支持环境保护这件事使我更加致力于环境保护。,比起其他任何类型的衣服，我更愿意把钱花在生态友好型的衣服上。,我认为生态友好型服装的价格通常高于平均值。,我更喜欢购买环保服装，即使它更贵一些。,我相信一个具有经认证环保标签的服装品牌，是一个被社会所接受的购买品牌。,我宁愿坚持一个众所周知的传统服装品牌，也不愿意尝试生态友好型品牌。,如果我喜欢一个品牌，我不会为了尝试新鲜物品，而轻易去改变对这个品牌的喜爱。,如果环保型服装不是品牌服饰，那对我来说都没什么差别。,我认为环保型服饰，例如有机棉，比传统服饰更具时尚感。,我相信环保服装的质量通常高于其他服装。,我相信国家会对环境产生积极的影响。,支持环境保护让我更具有社会责任感。,我对购买环保服装感到满意，因此我也会购买这种服装。,你认识以下这些流行的纺织品环保标签吗？,,,,,,,以下因素对你的服装购买决策有多重要？,,,,,,,,,,,,,通常我都是我朋友圈里最后一个知道最新设计师和时尚潮流的人。,和我的朋友们相比，我很少买新的流行款式。,通常我都是我朋友圈中最后一个购买新时尚款式的人。,我比其他人更先了解新的时尚款式。,如果我听说了新的时装款式或造型，并且知道可以通过当地的精品店或百货商店买到它们，我会很有兴趣去买。,我会考虑购买新的时尚款式，即使是我之前没有听说过的。,以下因素对你的服装购买决策有多重要？,,,,,,,,你每年花多少钱在服装上？,你的就业状况如何？,性別,你的每年收入水平属于以下哪一栏（以家庭为单位）,你的年龄是?,你的最高学历是什么？,你的婚姻状况如何？
11150447469,214327343,11/17/2019 12:42:24 AM,11/17/2019 12:52:49 AM,223.104.1.19,,,,,1,,1,3,2,1,1,2,3,1,2,3,2,3,3,3,3,2,2,3,3,4,4,3,3,4,3,3,3,3,3,,,3,,,,,1,3,3,1,3,3,3,5,1,5,3,3,3,1,1,1,4,5,4,3,3,3,3,3,3,3,3,1,1,1,11,1,2,7
11150411875,214327343,11/16/2019 11:44:19 PM,11/16/2019 11:59:38 PM,112.97.165.49,,,,,1,,1,3,3,3,3,1,2,2,3,3,4,3,2,3,4,2,3,3,4,4,2,4,3,4,4,4,3,3,4,1,,3,,5,,,2,1,2,1,2,1,1,3,2,3,3,4,1,3,2,3,4,4,3,4,4,4,1,2,2,1,2,2,1,2,1,1,2,6
11150089051,214327343,11/16/2019 04:32:36 PM,11/16/2019 04:40:57 PM,183.37.172.190,,,,,1,,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,7,2,2,2,1,3,2,2,2,2,3,2,3,2,3,3,3,3,3,3,2,1,3,3,3,1,3,3,3,1,2,1,1,2,6
11149970530,214327343,11/16/2019 02:30:48 PM,11/16/2019 02:41:25 PM,183.42.31.166,,,,,1,,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,3,,,,,,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,5,1,2,5,1,2,6
11149721433,214327343,11/16/2019 11:07:06 AM,11/16/2019 11:11:03 AM,119.124.2.160,,,,,1,,1,3,1,1,1,1,1,1,3,3,3,3,1,1,2,1,1,3,1,3,2,3,2,3,3,3,1,1,3,1,,3,,,,,1,1,1,2,1,2,1,3,1,3,2,3,2,1,1,3,5,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,6
11149618634,214327343,11/16/2019 09:35:56 AM,11/16/2019 10:06:45 AM,113.83.241.58,,,,,1,,2,2,2,2,2,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,3,2,3,3,,,,,,,7,2,1,3,2,3,3,3,3,1,3,1,3,2,2,2,2,4,3,2,3,2,3,2,2,2,2,2,2,1,,1,1,2,6
11149583676,214327343,11/16/2019 09:12:10 AM,11/16/2019 09:37:22 AM,117.136.40.62,,,,,1,,2,2,2,2,2,2,2,3,2,4,4,4,3,2,2,3,3,3,2,3,2,3,4,3,2,2,2,2,2,,,,,,,7,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,4,3,3,3,2,2,2,2,3,2,2,4,1,1,5,1,2,7
11149576150,214327343,11/16/2019 09:06:38 AM,11/16/2019 09:10:26 AM,223.104.64.42,,,,,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149569581,214327343,11/16/2019 09:00:42 AM,11/16/2019 09:09:07 AM,113.81.98.159,,,,,1,,1,2,2,3,1,1,1,1,2,3,3,3,3,1,2,2,2,2,2,3,2,4,4,4,3,2,1,1,2,,,,,,,7,2,2,2,2,2,1,1,3,1,4,2,3,3,4,4,4,4,2,2,3,3,3,3,2,3,3,3,3,1,1,1,1,2,7
11149557571,214327343,11/16/2019 08:50:15 AM,11/16/2019 09:07:11 AM,183.39.48.155,,,,,1,,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,3,3,3,2,3,2,3,3,3,3,3,3,,,,,,,7,1,1,1,1,1,2,3,2,1,3,1,2,1,3,2,3,4,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,6
11149548837,214327343,11/16/2019 08:41:45 AM,11/16/2019 08:53:07 AM,183.39.41.244,,,,,1,,2,3,2,1,1,1,1,2,2,4,4,4,1,1,1,1,2,1,3,4,2,4,3,3,3,3,2,2,2,,,,,,,7,3,1,2,1,2,3,3,3,1,3,1,1,1,3,1,1,3,3,3,3,1,1,1,1,1,4,1,2,1,1,11,1,2,6
11149546583,214327343,11/16/2019 08:40:07 AM,11/16/2019 09:26:36 AM,183.39.42.22,,,,,1,,1,2,3,3,2,3,2,2,2,2,3,3,1,1,1,2,1,1,2,2,2,4,4,2,3,3,2,3,2,1,,,,,,,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,1,1,1,3,3,3,1,3,3,2,1,1,1,3,6
11149540254,214327343,11/16/2019 08:34:13 AM,11/16/2019 08:43:57 AM,183.40.29.34,,,,,1,,1,3,1,1,1,1,1,1,1,3,4,3,1,1,1,1,1,1,1,3,1,4,3,5,3,3,1,1,3,1,,3,,,,7,1,1,1,1,1,3,1,3,1,3,1,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7
11149532436,214327343,11/16/2019 08:27:24 AM,11/16/2019 08:34:41 AM,117.136.40.53,,,,,1,,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,,,,,,,7,1,1,1,1,1,1,1,5,1,5,1,1,1,3,3,3,4,1,1,3,1,1,1,1,3,1,1,7,1,2,1,1,2,6
11149532324,214327343,11/16/2019 08:27:46 AM,11/16/2019 08:31:35 AM,14.30.31.212,,,,,1,,1,1,1,1,1,2,2,1,1,3,3,3,2,2,2,2,2,1,2,2,2,4,4,4,2,,2,2,2,,,,,,,7,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,3,4,3,3,2,1,1,1,1,2,2,1,2,1,1,6,1,2,7
11149531753,214327343,11/16/2019 08:27:13 AM,11/16/2019 08:37:04 AM,119.124.3.27,,,,,1,,1,2,3,2,2,1,2,2,2,3,3,3,2,1,1,2,2,2,3,3,2,3,3,4,2,3,1,2,2,,,,,,,7,2,2,3,2,3,3,2,3,2,3,3,3,1,2,2,4,3,3,3,4,3,3,3,3,2,2,3,4,1,1,6,1,1,7
11149509452,214327343,11/16/2019 08:06:14 AM,11/16/2019 08:07:24 AM,223.104.1.22,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149502001,214327343,11/16/2019 08:00:11 AM,11/16/2019 08:03:46 AM,119.124.2.236,,,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,7,2,2,2,2,2,2,2,4,1,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,6
11149497562,214327343,11/16/2019 07:55:47 AM,11/16/2019 08:02:18 AM,223.104.254.59,,,,,1,,1,1,1,2,1,1,1,2,1,3,3,3,2,1,1,2,2,2,2,3,3,3,2,3,3,1,1,1,1,,,3,,,,,1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,3,3,3,3,3,2,2,1,1,1,1,1,3,1,1,1,1,2,7
11149490693,214327343,11/16/2019 07:48:09 AM,11/16/2019 08:01:40 AM,14.24.32.204,,,,,1,,2,2,1,1,1,1,1,1,1,1,2,3,2,2,1,2,2,2,1,2,1,5,4,2,3,3,1,1,1,,,,,,,7,1,2,3,1,2,2,2,3,1,3,2,2,2,3,2,3,4,3,3,2,2,2,2,2,2,2,2,7,3,1,9,1,2,6
11149488459,214327343,11/16/2019 07:46:39 AM,11/16/2019 08:04:40 AM,112.97.248.240,,,,,1,,2,3,2,2,3,2,2,2,3,3,4,3,2,1,1,1,1,2,3,2,1,4,3,4,2,1,2,1,2,,,,,,,7,1,1,2,2,3,3,2,3,3,4,3,2,2,4,3,3,4,3,3,1,1,1,2,2,1,1,1,1,3,1,1,1,2,6
11149474728,214327343,11/16/2019 07:33:13 AM,11/16/2019 07:37:29 AM,183.40.12.43,,,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,7,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,6
11149473588,214327343,11/16/2019 07:32:04 AM,11/16/2019 07:32:35 AM,112.97.212.43,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149467129,214327343,11/16/2019 07:25:48 AM,11/16/2019 07:30:14 AM,183.42.25.68,,,,,1,,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,5,6,,2,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,3,2,2,2,2,2,2,2,2,6,1,1,11,1,2,7
11149464826,214327343,11/16/2019 07:22:57 AM,11/16/2019 07:34:03 AM,223.104.1.23,,,,,1,,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,2,3,3,2,1,2,1,1,1,1,1,3,2,2,,,,,,,7,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1
11149460209,214327343,11/16/2019 07:18:50 AM,11/16/2019 07:24:49 AM,112.97.241.178,,,,,1,,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,1,,3,,,,,1,1,2,1,2,2,2,3,3,2,2,2,2,5,4,4,3,3,3,3,2,3,2,2,1,3,2,2,1,1,5,1,2,6
11149460066,214327343,11/16/2019 07:17:15 AM,11/16/2019 08:37:19 AM,223.104.1.17,,,,,1,,2,3,1,3,2,1,2,1,1,3,3,4,3,1,1,1,1,1,3,3,2,4,1,4,3,3,1,2,2,,,,4,,6,,3,1,3,1,1,3,2,3,3,3,1,1,3,1,3,3,3,3,3,3,3,2,1,2,2,3,3,2,1,1,1,1,2,6
11149458246,214327343,11/16/2019 07:16:57 AM,11/16/2019 07:21:51 AM,183.42.52.32,,,,,1,,2,3,2,2,3,2,2,2,3,3,3,3,3,2,2,3,3,4,4,3,2,3,4,4,2,3,2,2,3,,,3,,,,,2,2,3,2,2,3,3,4,2,4,2,3,2,4,3,3,3,3,2,2,2,2,1,2,1,1,1,2,1,1,2,1,1,6
11149455401,214327343,11/16/2019 07:13:39 AM,11/16/2019 07:18:10 AM,14.112.228.249,,,,,1,,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,7,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,4,1,2,6
11149452111,214327343,11/16/2019 07:10:16 AM,11/16/2019 07:11:25 AM,117.136.79.101,,,,,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149446295,214327343,11/16/2019 07:03:46 AM,11/16/2019 07:18:47 AM,183.37.172.210,,,,,1,,1,2,2,1,1,2,1,3,2,3,2,2,2,1,2,1,1,2,2,3,2,4,3,3,2,2,1,1,2,,,,,,,7,1,1,2,2,3,2,2,3,2,3,2,3,2,3,3,4,4,4,3,3,3,2,1,1,2,1,2,2,1,2,8,1,2,6
11149437919,214327343,11/16/2019 06:55:51 AM,11/16/2019 07:02:55 AM,183.39.64.59,,,,,1,,1,3,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,3,3,2,2,4,3,2,2,3,2,2,2,,,3,,,,,2,1,2,2,3,1,2,3,1,3,2,2,2,2,2,2,4,3,4,3,1,1,1,1,1,4,1,2,1,2,3,1,2,6
11149435807,214327343,11/16/2019 06:52:20 AM,11/16/2019 07:23:57 AM,223.104.65.13,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,2,6
11149435577,214327343,11/16/2019 06:51:50 AM,11/16/2019 06:53:42 AM,223.104.65.13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149429980,214327343,11/16/2019 06:46:08 AM,11/16/2019 07:04:30 AM,183.40.26.74,,,,,1,,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,3,1,1,1,1,1,1,1,1,5,1,2,1,1,4,6
11149429182,214327343,11/16/2019 06:42:10 AM,11/16/2019 06:48:25 AM,45.88.42.21,,,,,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,6
11149427343,214327343,11/16/2019 06:44:12 AM,11/16/2019 06:45:41 AM,223.104.1.16,,,,,1,,2,2,3,2,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149426609,214327343,11/16/2019 06:42:10 AM,11/16/2019 07:07:35 AM,117.136.40.49,,,,,1,,2,3,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,3,2,3,2,3,3,3,2,2,3,,,,,,,7,1,1,1,1,1,1,1,3,3,3,1,3,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,2,6
11149426550,214327343,11/16/2019 06:43:12 AM,11/16/2019 06:54:40 AM,223.104.1.16,,,,,1,,2,2,2,2,2,3,3,2,2,3,3,3,2,2,2,2,2,3,2,2,2,4,2,3,3,3,2,2,2,,,,,,,7,2,2,3,3,2,2,2,3,1,3,2,3,1,2,2,1,4,2,3,4,2,1,1,2,2,2,2,2,1,1,2,1,2,6
11149425382,214327343,11/16/2019 06:41:39 AM,11/16/2019 07:03:14 AM,112.97.161.174,,,,,1,,1,2,3,3,2,1,2,3,2,3,3,4,2,2,3,2,3,3,2,3,3,3,3,3,3,3,2,2,3,,,,,,,7,2,2,2,2,2,2,2,3,2,3,2,3,2,1,2,3,3,4,3,3,3,3,2,2,2,3,2,4,1,1,1,1,2,6
11149424904,214327343,11/16/2019 06:33:59 AM,11/16/2019 06:48:54 AM,183.39.147.120,,,,,1,,2,2,2,1,1,1,3,2,1,2,2,2,1,1,1,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1,2,3,7,1,1,3,1,1,6
11149423230,214327343,11/16/2019 06:39:52 AM,11/16/2019 07:49:45 AM,14.28.55.121,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6
11149420273,214327343,11/16/2019 06:36:31 AM,11/16/2019 07:50:11 AM,183.37.158.95,,,,,1,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149418353,214327343,11/16/2019 06:33:19 AM,11/16/2019 06:50:09 AM,117.136.40.63,,,,,1,,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,4,3,4,3,3,2,2,2,,,,,,,7,2,2,2,2,2,2,2,3,3,2,2,2,2,4,3,3,3,3,3,3,3,3,1,2,1,1,2,3,1,2,2,1,2,6
11149417906,214327343,11/16/2019 06:33:46 AM,11/16/2019 06:45:46 AM,223.104.63.60,,,,,1,,2,3,3,2,2,2,3,2,3,3,3,3,2,2,3,2,3,3,3,3,2,3,4,3,3,3,3,3,3,,,,,,,7,3,2,2,2,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,2,2,1,2,3,3,1,2,4,1,2,6
11149417615,214327343,11/16/2019 06:33:23 AM,11/16/2019 06:39:59 AM,221.178.127.27,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6
11149417513,214327343,11/16/2019 06:33:23 AM,11/16/2019 06:40:27 AM,112.97.208.140,,,,,1,,1,1,2,1,2,1,2,1,2,3,4,3,2,1,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,,2,,,,,,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,5,2,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,2,6
11149417029,214327343,11/16/2019 06:33:08 AM,11/16/2019 06:35:58 AM,119.124.3.30,,,,,1,,1,3,3,3,3,1,3,3,1,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,,3,,,,,1,1,3,1,3,1,1,1,1,5,1,3,3,3,3,3,3,3,2,3,3,2,1,1,1,2,2,6,1,1,7,1,2,6
11149416558,214327343,11/16/2019 06:32:26 AM,11/16/2019 06:41:01 AM,112.97.241.98,,,,,1,,1,1,3,1,3,3,1,3,2,3,4,3,3,2,3,2,2,3,3,3,3,4,2,4,3,3,2,2,3,,,,,,,7,1,1,3,1,3,1,1,3,1,3,3,3,3,2,2,2,2,3,3,2,2,2,1,1,1,1,1,3,1,2,2,1,2,6
11149416001,214327343,11/16/2019 06:22:25 AM,11/16/2019 06:32:22 AM,117.136.40.52,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149414351,214327343,11/16/2019 06:30:04 AM,11/16/2019 06:40:41 AM,223.104.63.49,,,,,1,,2,2,2,2,3,2,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,,,,,,,,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,6
11149414090,214327343,11/16/2019 06:30:02 AM,11/16/2019 06:38:15 AM,183.39.45.45,,,,,1,,1,1,1,1,2,1,1,3,2,3,1,3,1,1,1,2,1,2,1,2,1,4,4,4,2,2,1,1,1,,,3,,,,,1,1,1,1,1,1,1,3,1,3,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,6
